YYYYMMDD,   TG,   TN,   TX
19930101,  -39,  -85,   -4
19930102,  -38,  -88,    4
19930103,  -77, -103,  -33
19930104,  -49,  -96,  -19
19930105,   16,  -19,   54
19930106,   80,   53,   96
19930107,   46,    2,   94
19930108,   53,   13,   97
19930109,   69,    7,  112
19930110,  107,   81,  124
19930111,   99,   66,  117
19930112,   59,   33,   78
19930113,   71,   41,  151
19930114,   64,   41,   86
19930115,   88,   36,  125
19930116,  115,   94,  141
19930117,   91,   51,  115
19930118,   55,   36,   84
19930119,   61,   37,   93
19930120,   97,   87,  110
19930121,   98,   74,  123
19930122,   95,   64,  122
19930123,   76,   53,  116
19930124,   94,   47,  120
19930125,   35,    9,   71
19930126,   38,    9,   56
19930127,   42,   14,   61
19930128,   65,   26,   93
19930129,   45,   -1,   86
19930130,   11,  -12,   39
19930131,    3,  -23,   39
19930201,  -16,  -51,   15
19930202,   21,    4,   31
19930203,   24,   -1,   37
19930204,   -1,  -12,    9
19930205,   22,    2,   40
19930206,   52,   31,   70
19930207,   57,   39,   71
19930208,   50,   36,   63
19930209,   47,   36,   55
19930210,   27,   19,   39
19930211,   10,   -3,   21
19930212,   10,  -14,   57
19930213,   -8,  -21,   11
19930214,  -13,  -23,    0
19930215,   14,   -5,   33
19930216,   50,    4,   86
19930217,   69,   35,   84
19930218,   61,   26,   79
19930219,   61,   32,   79
19930220,   48,   17,   75
19930221,   35,   10,   63
19930222,   13,   -9,   52
19930223,    0,  -29,   36
19930224,  -11,  -32,   16
19930225,   18,   -8,   38
19930226,   26,   15,   38
19930227,   20,  -22,   47
19930228,   -2,  -39,   43
19930301,    8,  -37,   41
19930302,   21,   -1,   61
19930303,   -6,  -28,   25
19930304,    5,  -25,   31
19930305,   26,  -23,   55
19930306,   61,   50,   89
19930307,   54,   34,   75
19930308,   41,    3,   91
19930309,   32,  -13,   83
19930310,   66,    6,  122
19930311,   73,   28,  138
19930312,   81,    6,  161
19930313,   81,   15,  162
19930314,   91,    2,  173
19930315,  106,   39,  176
19930316,   92,   72,  127
19930317,   99,   73,  137
19930318,   94,   51,  123
19930319,   58,   12,  107
19930320,   57,  -14,  122
19930321,   86,    6,  153
19930322,   96,   67,  141
19930323,   66,   19,   95
19930324,   53,    0,   99
19930325,   48,   15,   88
19930326,   51,   -2,  101
19930327,   23,  -45,   83
19930328,   21,  -36,   78
19930329,   29,  -29,   96
19930330,   70,   -9,  130
19930331,  112,   72,  149
19930401,   97,   66,  138
19930402,   60,    4,  101
19930403,   63,   -4,  123
19930404,   59,   13,   85
19930405,   62,    5,  103
19930406,   84,   64,  106
19930407,   72,   25,   92
19930408,   66,   -1,  101
19930409,   90,   23,  131
19930410,   91,   41,  129
19930411,   76,   43,  109
19930412,   82,   36,  125
19930413,   78,   16,  130
19930414,   93,   37,  143
19930415,   86,   31,  144
19930416,   96,   43,  157
19930417,  103,   94,  113
19930418,  104,   74,  133
19930419,  100,   73,  120
19930420,  145,   73,  218
19930421,  140,   70,  210
19930422,  119,   63,  180
19930423,  144,   92,  192
19930424,  169,  128,  218
19930425,  150,   98,  202
19930426,  147,  103,  209
19930427,  163,  105,  236
19930428,  197,  101,  269
19930429,  205,  136,  268
19930430,  203,  139,  269
19930501,  164,   95,  234
19930502,  103,   90,  130
19930503,   93,   35,  125
19930504,   84,    2,  139
19930505,   86,   23,  136
19930506,   96,   32,  153
19930507,  112,   73,  147
19930508,  138,   93,  194
19930509,  162,   88,  253
19930510,  180,  116,  252
19930511,  199,  133,  261
19930512,  190,  127,  252
19930513,  126,   99,  158
19930514,  116,   90,  144
19930515,  106,   61,  153
19930516,  125,   51,  189
19930517,  184,  101,  245
19930518,  173,  145,  219
19930519,  160,  110,  212
19930520,  162,  112,  229
19930521,  120,   62,  157
19930522,  131,   44,  195
19930523,  160,   83,  219
19930524,  187,  110,  255
19930525,  179,  124,  244
19930526,  174,  105,  241
19930527,  142,  114,  157
19930528,  115,  103,  131
19930529,  156,  106,  205
19930530,  169,  127,  208
19930531,  141,  112,  171
19930601,  153,  102,  202
19930602,  162,  129,  224
19930603,  139,  125,  175
19930604,  170,  106,  212
19930605,  192,  147,  237
19930606,  179,  122,  238
19930607,  177,   98,  244
19930608,  194,   98,  266
19930609,  223,  135,  290
19930610,  229,  174,  289
19930611,  183,  139,  227
19930612,  135,  116,  159
19930613,  134,   85,  174
19930614,  123,  107,  140
19930615,  133,   95,  177
19930616,  131,  113,  146
19930617,  153,  108,  196
19930618,  150,  129,  171
19930619,  158,  136,  184
19930620,  155,  107,  196
19930621,  141,   81,  185
19930622,  142,   85,  186
19930623,  130,   77,  182
19930624,  123,   66,  173
19930625,  130,   89,  159
19930626,  143,   97,  184
19930627,  154,  105,  188
19930628,  146,  102,  184
19930629,  181,   97,  240
19930630,  195,  120,  263
19930701,  181,  114,  248
19930702,  172,  118,  235
19930703,  189,  106,  237
19930704,  211,  159,  265
19930705,  151,  114,  177
19930706,  150,  110,  182
19930707,  149,  112,  175
19930708,  168,   86,  231
19930709,  162,  123,  231
19930710,  138,  104,  178
19930711,  126,   73,  171
19930712,  113,   53,  173
19930713,  145,   70,  190
19930714,  152,  119,  179
19930715,  161,  123,  181
19930716,  188,  166,  226
19930717,  178,  149,  202
19930718,  165,  124,  211
19930719,  151,  131,  181
19930720,  148,  129,  195
19930721,  146,  104,  179
19930722,  150,   92,  197
19930723,  175,  135,  219
19930724,  185,  155,  240
19930725,  149,  117,  188
19930726,  151,  107,  183
19930727,  152,  129,  175
19930728,  178,  150,  208
19930729,  184,  160,  227
19930730,  169,  154,  186
19930731,  162,  132,  190
19930801,  158,  127,  195
19930802,  188,  143,  243
19930803,  168,  125,  209
19930804,  170,  139,  215
19930805,  167,  134,  210
19930806,  152,  100,  186
19930807,  174,   99,  223
19930808,  160,  104,  215
19930809,  162,  112,  186
19930810,  145,   98,  172
19930811,  148,   76,  183
19930812,  161,  126,  192
19930813,  148,  101,  197
19930814,  163,  105,  224
19930815,  173,  127,  231
19930816,  164,  126,  209
19930817,  155,  117,  198
19930818,  160,   93,  217
19930819,  160,   86,  220
19930820,  166,  128,  209
19930821,  176,  120,  215
19930822,  118,   78,  147
19930823,  121,   85,  167
19930824,  127,   75,  180
19930825,  128,   84,  177
19930826,  141,   92,  184
19930827,  129,   81,  157
19930828,  128,   64,  182
19930829,  123,   44,  191
19930830,  145,  107,  174
19930831,  143,  114,  180
19930901,  142,  105,  182
19930902,  142,  107,  167
19930903,  135,  116,  163
19930904,  125,   98,  165
19930905,  126,   74,  179
19930906,  122,   38,  191
19930907,  145,   79,  205
19930908,  161,  122,  208
19930909,  160,  126,  210
19930910,  147,  113,  189
19930911,  134,  100,  188
19930912,  142,   79,  195
19930913,  124,   93,  138
19930914,  124,  106,  144
19930915,  139,  121,  175
19930916,  124,  101,  145
19930917,   94,   47,  120
19930918,   95,   25,  155
19930919,  120,   60,  189
19930920,  171,   99,  232
19930921,  159,   97,  192
19930922,  143,   99,  167
19930923,  140,  113,  176
19930924,  126,  101,  157
19930925,  120,  110,  130
19930926,  112,  103,  124
19930927,  121,  104,  141
19930928,  108,   77,  139
19930929,  111,   72,  162
19930930,  115,   91,  147
19931001,  132,  109,  151
19931002,  121,   91,  163
19931003,  115,   86,  129
19931004,  127,   99,  171
19931005,  141,   93,  181
19931006,  139,  114,  171
19931007,  127,   93,  164
19931008,  129,  102,  164
19931009,  111,   89,  144
19931010,  112,   78,  155
19931011,  137,  110,  177
19931012,  143,  119,  175
19931013,  137,  115,  164
19931014,   80,   43,  117
19931015,   58,    7,  113
19931016,   51,    1,   88
19931017,   52,   -6,  114
19931018,   38,   -6,   92
19931019,   30,  -17,   96
19931020,   56,  -14,   96
19931021,   71,   45,  104
19931022,   68,   43,   94
19931023,   66,   43,   87
19931024,   70,   55,   89
19931025,   90,   66,  108
19931026,   97,   78,  123
19931027,   92,   81,  106
19931028,   76,   35,  106
19931029,   51,   14,  105
19931030,   39,   11,   80
19931031,   25,   17,   39
19931101,   23,   18,   31
19931102,   34,   16,   50
19931103,   72,   41,  114
19931104,   91,   33,  173
19931105,   58,   30,  100
19931106,   60,   52,   67
19931107,   55,   48,   62
19931108,   62,   37,   73
19931109,   71,   39,  108
19931110,   80,   69,   89
19931111,   80,   60,  103
19931112,   65,   43,   97
19931113,   67,   46,   91
19931114,   77,   56,  115
19931115,   61,   16,   86
19931116,   14,  -16,   44
19931117,    9,  -22,   49
19931118,  -11,  -30,   20
19931119,  -13,  -44,   36
19931120,   -8,  -56,   19
19931121,  -48,  -57,  -14
19931122,  -59,  -84,  -24
19931123,  -36,  -89,    2
19931124,  -30,  -63,    3
19931125,  -10,  -39,   35
19931126,  -13,  -50,   17
19931127,  -27,  -39,  -19
19931128,  -20,  -39,   -5
19931129,  -22,  -46,   15
19931130,  -28,  -47,  -10
19931201,   -5,  -23,   17
19931202,   72,   17,   99
19931203,   91,   78,   99
19931204,   80,   32,  110
19931205,   54,   23,   79
19931206,   69,   61,   78
19931207,   55,   31,   69
19931208,   60,   26,  108
19931209,   84,   59,   98
19931210,   63,   45,   81
19931211,   44,   17,   63
19931212,   33,   -7,   56
19931213,   79,   23,  100
19931214,   18,   -6,   36
19931215,   26,    5,   39
19931216,   57,   36,   72
19931217,   57,   37,   77
19931218,   98,   77,  119
19931219,  109,   73,  134
19931220,   47,   25,   74
19931221,   19,    6,   42
19931222,   48,   37,   68
19931223,   42,   21,   58
19931224,   40,   20,   51
19931225,   -6,  -33,   21
19931226,   21,   -7,   30
19931227,   25,   15,   42
19931228,   19,    6,   33
19931229,   54,   19,   78
19931230,   68,   52,   85
19931231,   58,   29,   80
