Series Name,Series Code,Country Name,Country Code,2000 [YR2000]
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Afghanistan,AFG,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Albania,ALB,570.845447449958
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Algeria,DZA,865.666016475681
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,American Samoa,ASM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Andorra,ADO,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Angola,AGO,497.963029591388
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Antigua and Barbuda,ATG,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Arab World,ARB,1294.93310312934
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Argentina,ARG,1661.60550753448
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Armenia,ARM,654.920616963439
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Aruba,ABW,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Australia,AUS,5644.06495066047
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Austria,AUT,3562.3251434239
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Azerbaijan,AZE,1403.43326789752
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Bahamas, The",BHS,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bahrain,BHR,11948.4325677996
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bangladesh,BGD,139.036146041195
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Barbados,BRB,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belarus,BLR,2456.16211894053
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belgium,BEL,5713.57736861358
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Belize,BLZ,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Benin,BEN,285.30228512932
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bermuda,BMU,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bhutan,BTN,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bolivia,BOL,588.205880631864
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bosnia and Herzegovina,BIH,1145.89238040348
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Botswana,BWA,1033.82512399378
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brazil,BRA,1066.30285552001
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,British Virgin Islands,VGB,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Brunei Darussalam,BRN,7213.66554330004
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Bulgaria,BGR,2277.36796728392
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burkina Faso,BFA,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Burundi,BDI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cabo Verde,CPV,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cambodia,KHM,279.750334176238
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cameroon,CMR,396.14337601387
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Canada,CAN,8173.66656158494
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Caribbean small states,CSS,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cayman Islands,CYM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central African Republic,CAF,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Central Europe and the Baltics,CEB,2371.90217118276
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chad,TCD,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Channel Islands,CHI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Chile,CHL,1659.00546901012
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,China,CHN,919.321019764067
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Colombia,COL,638.885808195182
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Comoros,COM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Dem. Rep.",ZAR,289.931849093661
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Congo, Rep.",COG,225.9100129323
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Costa Rica,CRI,732.039384019667
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cote d'Ivoire,CIV,411.064074060531
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Croatia,HRV,1760.12471757795
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cuba,CUB,1162.33872251038
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Curacao,CUW,15761.8481996115
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Cyprus,CYP,2265.41444968498
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Czech Republic,CZE,3988.03849376645
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Denmark,DNK,3489.61479626999
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Djibouti,DJI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominica,DMA,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Dominican Republic,DOM,822.852296545112
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Early-demographic dividend,EAR,702.432250873183
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,East Asia & Pacific,EAS,1229.5310161788
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,East Asia & Pacific (excluding high income),EAP,858.036839077651
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,East Asia & Pacific (IDA & IBRD countries),TEA,857.969831776691
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ecuador,ECU,698.076254874255
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Egypt, Arab Rep.",EGY,593.953470777489
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,El Salvador,SLV,682.595826860909
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Equatorial Guinea,GNQ,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Eritrea,ERI,200.243214160846
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Estonia,EST,3374.70838985386
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ethiopia,ETH,435.179440825929
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Euro area,EMU,3694.61720336476
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Europe & Central Asia,ECS,3192.86686841252
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Europe & Central Asia (excluding high income),ECA,2697.22778839743
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Europe & Central Asia (IDA & IBRD countries),TEC,2654.52197245542
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,European Union,EUU,3468.98601198164
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Faroe Islands,FRO,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Fiji,FJI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Finland,FIN,6237.18246307288
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Fragile and conflict affected situations,FCS,537.323614337771
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,France,FRA,4135.64715405367
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,French Polynesia,PYF,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gabon,GAB,1194.13047644103
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Gambia, The",GMB,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Georgia,GEO,649.382341624607
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Germany,DEU,4094.0603595302
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ghana,GHA,333.556919061966
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Gibraltar,GIB,4674.38119264378
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greece,GRC,2506.6399477022
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Greenland,GRL,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Grenada,GRD,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guam,GUM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guatemala,GTM,602.355445363284
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guinea,GIN,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guinea-Bissau,GNB,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Guyana,GUY,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Haiti,HTI,235.144636891256
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Heavily indebted poor countries (HIPC),HPC,374.996834966136
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,High income,HIC,5058.91064339708
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Honduras,HND,479.085002915228
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Hong Kong SAR, China",HKG,2033.43510877719
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Hungary,HUN,2448.14033846536
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,IBRD only,IBD,1022.34621742885
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Iceland,ISL,11091.5488700414
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,IDA & IBRD total,IBT,903.1296910643
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,IDA blend,IDB,619.772779152637
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,IDA only,IDX,326.397732238121
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,IDA total,IDA,449.749378831494
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,India,IND,418.922186387417
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Indonesia,IDN,735.760362553488
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Iran, Islamic Rep.",IRN,1868.16047341003
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Iraq,IRQ,1105.97019667355
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Ireland,IRL,3626.74716057663
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Isle of Man,IMY,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Israel,ISR,2899.42661790428
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Italy,ITA,3012.19499987601
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Jamaica,JAM,1480.77094635066
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Japan,JPN,4092.71408749399
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Jordan,JOR,1020.5989500524
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kazakhstan,KAZ,2397.20233496864
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kenya,KEN,450.668612642448
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kiribati,KIR,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Korea, Dem. People’s Rep.",PRK,863.253406775715
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Korea, Rep.",KOR,4002.67128368549
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kosovo,KSV,908.608823529412
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kuwait,KWT,9745.9276381597
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Kyrgyz Republic,KGZ,473.37926669933
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Lao PDR,LAO,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Late-demographic dividend,LTE,1258.12109088906
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Latin America & Caribbean,LCN,1133.92231208572
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Latin America & Caribbean (excluding high income),LAC,1098.56818540017
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Latin America & the Caribbean (IDA & IBRD countries),TLA,1129.44514521084
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Latvia,LVA,1618.46001140419
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Least developed countries: UN classification,LDC,293.111481379406
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Lebanon,LBN,1517.22919718858
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Lesotho,LSO,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Liberia,LBR,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Libya,LBY,2979.45108205253
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Liechtenstein,LIE,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Lithuania,LTU,2037.61955870721
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Low & middle income,LMY,887.431930052577
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Low income,LIC,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Lower middle income,LMC,527.731354514049
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Luxembourg,LUX,7676.83703873482
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Macao SAR, China",MAC,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Macedonia, FYR",MKD,1325.86400642926
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Madagascar,MDG,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Malawi,MWI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Malaysia,MYS,2113.45998255991
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Maldives,MDV,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mali,MLI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Malta,MLT,1771.32286037188
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Marshall Islands,MHL,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mauritania,MRT,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mauritius,MUS,851.221655560452
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mexico,MEX,1408.55529678989
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"Micronesia, Fed. Sts.",FSM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Middle East & North Africa,MEA,1531.34230965952
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Middle East & North Africa (excluding high income),MNA,1021.58101131807
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Middle East & North Africa (IDA & IBRD countries),TMN,1021.58101131807
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Middle income,MIC,915.396129320614
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Moldova,MDA,792.103345649732
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Monaco,MCO,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mongolia,MNG,999.645454856393
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Montenegro,MNE,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Morocco,MAR,380.833139871283
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Mozambique,MOZ,392.710605952432
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Myanmar,MMR,269.387168070445
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Namibia,NAM,545.435529752317
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Nauru,NRU,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Nepal,NPL,341.519186171778
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Netherlands,NLD,4597.82833997247
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,New Caledonia,NCL,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,New Zealand,NZL,4430.22785597636
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Nicaragua,NIC,500.644148395239
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Niger,NER,130.886007360847
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Nigeria,NGA,700.241688574328
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,North America,NAC,8068.34871925304
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Northern Mariana Islands,MNP,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Norway,NOR,5826.07776899719
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Not classified,INX,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,OECD members,OED,4575.99138983222
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Oman,OMN,3441.09121940088
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Other small states,OSS,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Pacific island small states,PSS,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Pakistan,PAK,463.425969703817
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Palau,PLW,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Panama,PAN,848.203434352973
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Papua New Guinea,PNG,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Paraguay,PRY,726.269979668859
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Peru,PER,471.608217288333
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Philippines,PHL,513.138636949606
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Poland,POL,2320.37671815161
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Portugal,PRT,2390.09793877451
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Post-demographic dividend,PST,5043.10581277141
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Pre-demographic dividend,PRE,514.55388418374
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Puerto Rico,PRI,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Qatar,QAT,18401.3022092735
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Romania,ROM,1614.2097675036
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Russian Federation,RUS,4224.28618838572
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Rwanda,RWA,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Samoa,WSM,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,San Marino,SMR,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Sao Tome and Principe,STP,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Saudi Arabia,SAU,4574.40310340093
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Senegal,SEN,243.175602890622
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Serbia,SRB,1826.35764771872
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Seychelles,SYC,..
Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,Sierra Leone,SLE,..
